University Of Wyoming,55.7142857143,315.41025641,299,334,159.256410256,150,168,156.153846154,145,169,3.7125641026,3.18,4,4.2435897436,3,5,101.923076923,96,111
"Institute Of Science And Technology, Austria (IST)",50,326.5,319,334,159.5,155,164,167,164,170,3.995,3.99,4,4,3.5,4.5,104,103,105
LaSalle,50,312,302,322,160,155,165,152,147,157,3.84,3.7,3.98,5.25,5,5.5,104.5,103,106
Clarion University,33.3333333333,293.5,289,298,145.5,145,146,148,144,152,3.48,3.2,3.76,3.75,3.5,4,93.5,93,94
Florida Atlantic University (FAU),100,311.230769231,299,327,157.153846154,146,164,154.076923077,140,163,3.3992307692,3,3.9,4.1538461539,2.5,5.5,99.9230769231,94,105
University Of Saskatchewan,70,324.428571429,310,339,163.142857143,145,169,161.285714286,150,170,3.8285714286,3.5,3.98,4.8571428571,3,5.5,106.285714286,93,114
University of Cincinnati,71.0976837865,317.409348442,272,339,155.379603399,134,170,162.029745042,138,170,3.518272621,2.3886639676,4,3.6041076487,2,5.5,105.827195467,70,119
National Institute Of Technology (NIT),40,321.5,316,327,162.5,155,170,159,157,161,3.7,3.4,4,3.75,3.5,4,109.5,103,116
Armstrong Atlantic State University,50,303.125,297,315,151,143,157,152.125,148,158,3.46125,3.1,3.9,4.125,3.5,4.5,96.625,93,100
Chico State,33.3333333333,320,320,320,165,165,165,155,155,155,4,4,4,4,4,4,106,106,106
University Of Ottawa,57.1428571429,319.875,306,339,158.125,145,169,161.75,156,170,3.6525,3.2,4,4.5,3.5,5.5,101.625,93,114
Missouri State,50,300.75,295,314,151.75,147,160,149,147,154,3.4175,2.6,3.8,3.75,3,5,96.75,94,101
Kansas State University,64.8148148148,316.657142857,294,337,156.4,140,168,160.257142857,145,170,3.5591428571,3.05,4,3.8714285714,2.5,5.5,100.628571429,90,111
University Of The District Of Columbia,100,300.6,283,321,151.266666667,143,164,149.333333333,140,158,3.4653333333,3.2,4,4.26,3,5,97,93,105
ETH Zurich,71.25,321.877192982,299,336,157.403508772,139,170,164.473684211,140,170,3.7647368421,3,4,3.8947368421,2,5.5,101.456140351,89,116
Masdar Institute Of Science And Technology,100,316.6,298,327,154,139,170,162.6,145,170,3.704,3.37,3.94,3.35,2.5,4,98.9,89,116
Universidad Carlos III De Madrid,40,316.5,309,324,150,142,158,166.5,166,167,3.295,3.19,3.4,3.5,3.5,3.5,96,92,100
SUNY Oneonta,33.3333333333,289,289,289,148,148,148,141,141,141,3.7,3.7,3.7,4,4,4,95,95,95
Montevallo University,100,301.333333333,301,302,151.666666667,149,154,149.666666667,148,152,3.8133333333,3.79,3.83,4.1666666667,4,4.5,97,95,99
St. Johns University,80,307.333333333,291,330,155.25,149,170,152.083333333,139,162,3.6370833333,3.1,3.97,4.4583333333,3.5,6,99.5833333333,95,116
Northwestern University,51.1875511876,321.88,282,340,160.744,139,170,161.136,135,170,3.6853292113,2.6,4,4.40912,2,6,104.5216,84,120
UTSW,80,318.25,303,330,160,153,166,158.25,150,164,3.47,3.15,3.6,4.75,4,5.5,102,98,107
Baylor College Of Medicine,76.1904761905,321.171875,303,336,159.625,142,170,161.546875,149,170,3.58625,2.9,4,4.140625,2.5,5.5,102.640625,92,116
"University of North Carolina, Charlotte",86.2745098039,313.795454545,282,330,157.863636364,147,168,155.931818182,135,168,3.5263636364,2.96,3.93,4.0681818182,3,5.5,100.522727273,94,111
Chicago School Of Professional Psychology,100,312.666666667,301,320,160.333333333,151,166,152.333333333,150,154,3.5,3.4,3.6,4.1666666667,3.5,5,102.666666667,96,107
Southern California Institute Of Architecture (SCI-Arc),83.3333333333,312.066666667,292,328,156.133333333,145,170,155.933333333,145,165,3.252,2.69,3.87,4.0666666667,3,5.5,100.666666667,93,116
Fairleigh Dickinson University,80,314.375,285,331,159.25,144,170,155.125,141,162,3.48125,3.14,3.95,4.4375,4,5,102.875,93,116
Bowling Green State University,67.1052631579,310.921568627,284,338,157.745098039,138,170,153.176470588,135,169,3.7384313726,2.98,4,4.4803921569,3,6,100.843137255,88,116
Baldwin Wallace University,66.6666666667,301,301,301,153,153,153,148,148,148,3.8,3.8,3.8,4,4,4,98,98,98
"University of California, Riverside",67.7130044843,317.761589404,296,339,157.245033113,140,170,160.516556291,141,170,3.5853642384,2.67,4,4.0529801325,2.5,6,101.198675497,90,116
Auburn University,67.0886075949,315.169811321,272,334,157.339622642,133,170,157.830188679,139,168,3.5062264151,2.3,4,3.9811320755,2,5.5,101.018867925,80,116
University Of San Francisco,76.4705882353,314.076923077,299,333,157.461538462,138,167,156.615384615,138,166,3.5230769231,2.97,4,4.0769230769,2.5,5.5,100.230769231,88,108
University Of Kentucky,65.9340659341,315.175,290,331,158.233333333,140,170,156.941666667,143,169,3.6575,2.84,4,4.1875,3,6,101.516666667,90,116
University Of Central Arkansas,66.6666666667,305.25,296,320,155.416666667,148,165,149.833333333,145,155,3.58,3.33,3.91,4.4583333333,3,5.5,99.1666666667,95,106
University Of Edinburgh,94.7368421053,316.888888889,297,329,160.055555556,139,169,156.833333333,138,166,3.7438888889,3.23,3.98,4.4444444444,3,5.5,102.555555556,89,114
"Califorinia State University, Los Angeles",87.5,313.571428571,300,325,160,148,167,153.571428571,148,160,3.7057142857,3.3,3.9,4.4285714286,3.5,5,102.428571429,95,108
University Of Vermont,69.5652173913,312.479166667,292,334,159.416666667,141,170,153.0625,131,168,3.6470833333,2.72,4,4.3958333333,3,6,102.708333333,92,116
"University Of Texas, San Antonio (UTSA)",77.5,311.193548387,292,334,153.129032258,138,169,158.064516129,143,168,3.5264516129,2.4,4,3.8387096774,2,5,98.2903225806,88,114
Northern Arizona,66.6666666667,304,302,306,155,153,157,149,145,153,3.505,3.4,3.61,5.25,5,5.5,99,98,100
Middle Tennessee State University,81.8181818182,313.111111111,299,324,156.666666667,139,165,156.444444444,143,170,3.6711111111,2.76,4,4.7222222222,3.5,5.5,100.222222222,89,106
University Of Alberta,63.8655462185,317.263157895,299,334,154.934210526,140,170,162.328947368,145,170,3.6264473684,2.99,4,3.7894736842,2.5,6,99.5526315789,90,116
Scripps Institution Of Oceanography/UCSD,80,323.75,316,327,163.5,160,170,160.25,152,167,3.62,3.58,3.7,3.625,3.5,4,105.75,101,116
Minot State University,40,306.75,295,317,157.25,145,168,149.5,144,155,3.74,3.55,3.87,4.625,4,5.5,101.25,93,111
Kean University,78.5714285714,307.151515152,288,322,154.151515152,143,164,153,142,168,3.6527272727,3.1,3.96,4.3636363636,3,5.5,98.8181818182,93,105
"University Of Massachusetts, Worcester",57.1428571429,313.75,310,320,155,150,161,158.75,154,161,3.445,2.97,3.73,3.375,3,4.5,98.5,96,102
University Of South Florida (USF),67.0050761421,311.265151515,289,333,157.28030303,135,170,153.984848485,142,170,3.6878787879,2.7,4,4.2310606061,2,6,100.840909091,82,116
University Of Nottingham,66.6666666667,319,311,327,156,150,162,163,161,165,3.335,3.11,3.56,4.25,4,4.5,99.5,96,103
